Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL
BB - PRUDENCIAL,2016-03-01,731373597.0,24971345.0,31708475.0,0.08259999999999999,0.07440000000000001,163.26,2.6208101489999747,35.07,0.0633388102700346
ITAU - PRUDENCIAL,2016-03-01,637179005.0,3040454.0,37363592.0,0.14279999999999998,0.0828,163.26,2.6208101489999747,35.07,0.0712827080330431
BNDES - PRUDENCIAL,2016-03-01,583809224.0,57790148.0,29806020.0,0.10339999999999999,0.0727,163.26,2.6208101489999747,35.07,0.0095811587484272
BRADESCO - PRUDENCIAL,2016-03-01,543276415.0,5533358.0,38501528.0,0.12869999999999998,0.0791,163.26,2.6208101489999747,35.07,0.0728007082506845
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,2016-03-01,504853603.0,132455.0,44156342.0,0.09570000000000001,0.0393,163.26,2.6208101489999747,35.07,0.0523006321326558
SANTANDER - PRUDENCIAL,2016-03-01,309367060.0,9325031.0,16779267.0,0.1387,0.0867,163.26,2.6208101489999747,35.07,0.0719306054134155
BTG PACTUAL - PRUDENCIAL,2016-03-01,115522490.0,3705896.0,2167323.0,0.1039,0.08960000000000001,163.26,2.6208101489999747,35.07,0.0407530231163381
HSBC - PRUDENCIAL,2016-03-01,88813204.0,737657.0,12154379.0,0.0806,0.0472,163.26,2.6208101489999747,35.07,0.0964122241710618
SAFRA - PRUDENCIAL,2016-03-01,68871144.0,5414564.0,4416457.0,0.11539999999999999,0.0592,163.26,2.6208101489999747,35.07,0.0420295870166809
VOTORANTIM - PRUDENCIAL,2016-03-01,59714466.0,103004.0,6016317.0,0.0973,0.0526,163.26,2.6208101489999747,35.07,0.064531589879202
CITIBANK - PRUDENCIAL,2016-03-01,40309643.0,1446680.0,6754750.0,0.13140000000000002,0.09140000000000001,163.26,2.6208101489999747,35.07,0.0511006086268266
BANRISUL - PRUDENCIAL,2016-03-01,32391311.0,777404.0,6847121.0,0.156,0.0882,163.26,2.6208101489999747,35.07,0.0764404044757977
CREDIT SUISSE - PRUDENCIAL,2016-03-01,21227893.0,2028711.0,2776818.0,0.0875,0.0475,163.26,2.6208101489999747,35.07,0.1073055475510664
BNP PARIBAS - PRUDENCIAL,2016-03-01,19022287.0,292882.0,2656750.0,0.09480000000000001,0.0766,163.26,2.6208101489999747,35.07,0.040890478849983
JP MORGAN CHASE - PRUDENCIAL,2016-03-01,13043065.0,394722.0,2289405.0,0.16210000000000002,0.15109999999999998,163.26,2.6208101489999747,35.07,0.0014761759880949
ABC-BRASIL - PRUDENCIAL,2016-03-01,17277065.0,414769.0,867026.0,0.1368,0.0796,163.26,2.6208101489999747,35.07,0.031482721189236
VOLKSWAGEN - PRUDENCIAL,2016-03-01,16554762.0,0.0,1297735.0,0.1445,0.1175,163.26,2.6208101489999747,35.07,0.0727033183098191
BCO DAYCOVAL S.A - PRUDENCIAL,2016-03-01,11889902.0,375760.0,2347689.0,0.1814,0.1472,163.26,2.6208101489999747,35.07,0.0760100269688469
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,2016-03-01,13212345.0,18478.0,914998.0,0.1693,0.11460000000000001,163.26,2.6208101489999747,35.07,0.0266587925056502
MORGAN STANLEY - PRUDENCIAL,2016-03-01,7334492.0,262129.0,909613.0,0.1826,0.09849999999999999,163.26,2.6208101489999747,35.07,0.0
DEUTSCHE - PRUDENCIAL,2016-03-01,7503695.0,109955.0,1123280.0,0.142,0.09539999999999998,163.26,2.6208101489999747,35.07,0.0140670329680676
BOFA MERRILL LYNCH - PRUDENCIAL,2016-03-01,7005934.0,259753.0,1340143.0,0.1322,0.08990000000000001,163.26,2.6208101489999747,35.07,4.412161428043099e-07
BRB - PRUDENCIAL,2016-03-01,9170432.0,26522.0,808794.0,0.11320000000000001,0.0781,163.26,2.6208101489999747,35.07,0.0688267515447682
MERCEDES-BENZ - PRUDENCIAL,2016-03-01,8990288.0,0.0,935695.0,0.1477,0.1548,163.26,2.6208101489999747,35.07,0.0591471543895902
CCB - PRUDENCIAL,2016-03-01,7513399.0,3897.0,2367177.0,-0.0008,-0.0006,163.26,2.6208101489999747,35.07,0.159998495303771
BMG - PRUDENCIAL,2016-03-01,9538223.0,59464.0,38424.0,0.08800000000000001,0.0572,163.26,2.6208101489999747,35.07,0.0620678214249609
ALFA - PRUDENCIAL,2016-03-01,7622597.0,71108.0,986399.0,0.2437,0.1524,163.26,2.6208101489999747,35.07,0.0134321294678336
MERCANTIL DO BRASIL - PRUDENCIAL,2016-03-01,6968088.0,602.0,711591.0,0.0862,0.0559,163.26,2.6208101489999747,35.07,0.114526083723974
PINE - PRUDENCIAL,2016-03-01,6455724.0,35832.0,317340.0,0.1471,0.1118,163.26,2.6208101489999747,35.07,0.0585439454008191
SICREDI - PRUDENCIAL,2016-03-01,6156718.0,19601.0,969755.0,0.1697,0.0426,163.26,2.6208101489999747,35.07,0.0009279618328007
ORIGINAL - PRUDENCIAL,2016-03-01,5540677.0,703634.0,551158.0,0.2518,0.26890000000000003,163.26,2.6208101489999747,35.07,0.0360743956486026
BANCOOB - PRUDENCIAL,2016-03-01,5669318.0,78706.0,843097.0,0.1566,0.0368,163.26,2.6208101489999747,35.07,0.0021572028518839
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,2016-03-01,5901445.0,153276.0,266445.0,0.1209,0.0762,163.26,2.6208101489999747,35.07,0.0
JOHN DEERE - PRUDENCIAL,2016-03-01,5741527.0,314846.0,284705.0,0.1316,0.1261,163.26,2.6208101489999747,35.07,0.0416094283895256
CREDIT AGRICOLE - PRUDENCIAL,2016-03-01,5308677.0,13760.0,264069.0,0.1264,0.0496,163.26,2.6208101489999747,35.07,0.0151940923097111
BANESTES - PRUDENCIAL,2016-03-01,4844005.0,7658.0,1203437.0,0.1893,0.0659,163.26,2.6208101489999747,35.07,0.0935555489218761
SOCIETE GENERALE - PRUDENCIAL,2016-03-01,3810483.0,458497.0,193541.0,0.23079999999999998,0.0962,163.26,2.6208101489999747,35.07,0.0318731520831763
BCO CATERPILLAR S.A. - PRUDENCIAL,2016-03-01,3974702.0,70001.0,330415.0,0.1703,0.1807,163.26,2.6208101489999747,35.07,0.0741614612373357
