Data;CNPJ;NOME_INSTITUICAO;NOME_CONGL;A;AA;B;C;D;E;F;G;H;S1;S2;S3;Bad_Debt;Total_Portfolio;NPL
01/12/2015;0;BCO DO BRASIL S.A.;BB - PRUDENCIAL;289555342848,58;746549935217,12;249849677520,3;51051513592,84;22065782412,06;23593805363,56;9535942335,42;7612828211,56;35837513786,7;0,0;0,0;0,0;76580089697,23999;1435652341288,14;0,05334166740433026
01/12/2015;208;BRB - BCO DE BRASILIA S.A.;BRB - PRUDENCIAL;2655160318,86;11519262155,66;2846945416,0;1366132275,14;440435915,22;250343573,98;189530971,16;117176649,42;801879018,54;0,0;0,0;0,0;1358930213,1;20186866293,98;0,06731754167833626
01/12/2015;122327;SANTINVEST S.A. - CFI;SANTINVEST - PRUDENCIAL;147233273,96;0,0;76373978,1;10077085,22;80372779,78;85697056,34;16581305,54;962176,04;91446914,34;0,0;0,0;0,0;194687452,26;508744569,32000005;0,38268212380178096
01/12/2015;360305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;216153369682,34;667646503639,76;191494073220,06;147010598273,84;66192789969,1;16121474696,18;8842859457,9;10075428271,6;35436076359,44;0,0;0,0;0,0;70475838785,12;1358973173570,22;0,05185962471942675
01/12/2015;416968;BANCO INTER;INTER - PRUDENCIAL;3272164802,26;432421647,58;191804906,34;154930517,04;57830757,98;37810725,48;27018882,9;27151819,1;78814477,72;0,0;0,0;0,0;170795905,2;4279948536,4;0,039906065165835336
01/12/2015;556603;BANCO BARI S.A.;BARIGUI - PRUDENCIAL;669985640,8;1090959,0;19316980,9;41451680,38;5361740,24;3497156,94;3163271,5;1926714,94;14283332,0;0,0;0,0;0,0;22870475,38;760077476,6999999;0,030089663331817028
01/12/2015;1181521;BCO COOPERATIVO SICREDI S.A.;SICREDI - PRUDENCIAL;994941854,02;28061409299,84;59288299,74;4568502,44;2303269,36;15474267,9;1010023,58;801719,08;6867734,6;0,0;0,0;0,0;24153745,159999996;29146664970,559998;0,0008286967028439387
01/12/2015;1522368;BCO BNP PARIBAS BRASIL S A;BNP PARIBAS - PRUDENCIAL;15415834952,58;5340067313,96;868292226,8;538414815,54;209766056,88;137553065,76;149433935,08;113713569,94;524081517,7;0,0;0,0;0,0;924782088,48;23297157454,24;0,03969506109474712
01/12/2015;1701201;KIRTON BANK;HSBC - PRUDENCIAL;37769409216,22;68814784594,28;14928141539,38;5329542141,02;3008518949,12;1976045641,46;1867021083,56;1297412833,32;7596715886,18;0,0;0,0;0,0;12737195444,52;142587591884,54;0,08932891899060837
01/12/2015;2038232;BANCOOB;BANCOOB - PRUDENCIAL;7238598889,44;12847440190,76;612934298,54;277575232,4;17050813,9;6117406,0;13575357,42;1634539,98;26010982,64;0,0;0,0;0,0;47338286,04000001;21040937711,079998;0,0022498182680837473
01/12/2015;2658435;BCO CATERPILLAR S.A.;BCO CATERPILLAR S.A. - PRUDENCIAL;3257260373,72;2956802450,52;1664826830,52;458406870,82;187952051,58;139569318,66;88745580,56;79787591,54;340335484,42;0,0;0,0;0,0;648437975,1800001;9173686552,34;0,07068455756367632
01/12/2015;2801938;BCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL;0,0;87988118,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;87988118,56;0,0
01/12/2015;3502961;BCO PSA FINANCE BRASIL S.A.;PSA FINANCE - PRUDENCIAL;2819165562,42;0,0;914366598,8;93998274,46;33734649,82;12396447,96;10904006,06;8862410,9;29812252,1;0,0;0,0;0,0;61975117,02;3923240202,52;0,01579692137641528
01/12/2015;3634220;BCO HONDA S.A.;HONDA - PRUDENCIAL;3126405361,66;24305914,46;1012254485,94;1728322772,1;623824953,48;100002940,24;81289337,22;47545424,02;221381966,48;0,0;0,0;0,0;450219667,96;6965333155,599999;0,06463720512751521
01/12/2015;4452473;BMW FINANCEIRA S.A. - CFI;BMW - PRUDENCIAL;915879870,64;598891328,4;620674883,12;662229566,64;313112138,56;31379547,18;1705150,32;3126802,1;6472252,4;0,0;0,0;0,0;42683752,0;3153471539,36;0,013535480332466456
01/12/2015;4814563;SOROCRED CFI S.A.;SOROCRED CFI S.A. - PRUDENCIAL;473576702,46;0,0;32974573,32;31557732,88;15834322,8;14451403,76;12520712,72;10623751,88;41213272,78;0,0;0,0;0,0;78809141,14;632752472,5999999;0,12454971659955867
01/12/2015;4862600;PORTOSEG S.A. CFI;PORTO SEGURO - PRUDENCIAL;7841869214,66;39788139,68;181082391,7;177320957,9;101710056,34;124647559,68;102585366,34;148195863,32;401458399,5;0,0;0,0;0,0;776887188,84;9118657949,12;0,08519753599431523
01/12/2015;4866275;BANCO INBURSA;BCO INBURSA INV S.A. - PRUDENCIAL;521790,68;105673,94;38637949,84;127287,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;39392701,96;0,0
01/12/2015;5351887;ZEMA CFI S/A;ESTRELA MINEIRA - PRUDENCIAL;51490306,370000005;0,0;5079192,71;2838243,9800000004;1929430,22;844978,05;432940,55000000005;394496,64;10832336,760000002;0,0;0,0;0,0;12504752,000000002;73841925,28;0,16934488033164677
01/12/2015;6339468;GRAZZIOTIN FINANCIADORA SA CFI;GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL;33711260,7;0,0;910092,48;16254,84;23534,24;19587,38;14752,1;22805,74;141940,3;0,0;0,0;0,0;199085,52;34860227,78;0,005710964404949163
