Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Desemprego,Selic,NPL_Volatility_8Q,RWA_Credito_lag1,RWA_Mercado_lag1,RWA_Operacional_lag1,Capital_Principal_lag1,Alavancagem_lag1,PIB_lag1,Spread_lag1,Desemprego_lag1,Selic_lag1,NPL_Volatility_8Q_lag1,Estresse_Alto_P90,RWA_Operacional_lag1_x_Alavancagem_lag1,Prob_Estresse,Score_Robustez
ABC-BRASIL - PRUDENCIAL,2017-03-01,19061607.0,232584.0,1094143.0,0.1433,0.0822,164.34,0.9630321349999972,41.17333333333333,0.0402954791988372,13.7,12.25,0.004795524718509786,18639509.0,20804.0,944699.0,0.1429,0.0827,162.73,40.38,12.0,13.75,0.005487492724225767,0,78126.60729999999,0.009021136761236946,4.699122852605222
ABC-BRASIL - PRUDENCIAL,2017-06-01,19236390.0,237293.0,1094143.0,0.1442999999999999,0.0834999999999999,165.65,0.2193980018000196,36.63666666666666,0.0402673295452507,13.0,10.25,0.004313590439379569,19061607.0,232584.0,1094143.0,0.1433,0.0822,164.34,41.17333333333333,13.7,12.25,0.004795524718509786,0,89938.55459999999,0.0026637155073577774,5.925366054129102
ABC-BRASIL - PRUDENCIAL,2017-09-01,19270424.0,283568.0,1273324.0,0.1467999999999999,0.0861,166.12,0.5911447296000016,36.16333333333333,0.0329056124348538,12.4,8.25,0.004626866845353872,19236390.0,237293.0,1094143.0,0.1442999999999999,0.0834999999999999,165.65,36.63666666666666,13.0,10.25,0.004313590439379569,0,91360.94049999988,0.0021644889108822646,6.133404179570375
ABC-BRASIL - PRUDENCIAL,2017-12-01,20665491.0,583935.0,1273324.0,0.1399,0.088,167.13,1.144261174399985,33.526666666666664,0.026577292133229,11.8,7.0,0.00598882305082219,19270424.0,283568.0,1273324.0,0.1467999999999999,0.0861,166.12,36.16333333333333,12.4,8.25,0.004626866845353872,0,109633.1964,0.0019456681184933473,6.24020229195489
ABC-BRASIL - PRUDENCIAL,2018-03-01,21911933.0,315525.0,1557492.0,0.1386,0.0914,167.98,0.7014778351999817,33.15,0.0222141839009887,13.1,6.5,0.007813029052491961,20665491.0,583935.0,1273324.0,0.1399,0.088,167.13,33.526666666666664,11.8,7.0,0.00598882305082219,0,112052.51199999999,0.0003759488062157783,7.8856815581329265
ABC-BRASIL - PRUDENCIAL,2018-06-01,23253971.0,186681.0,1557492.0,0.1308,0.0862,167.89,1.8887030879999989,30.82333333333333,0.0223962718550248,12.4,6.5,0.008869201215893649,21911933.0,315525.0,1557492.0,0.1386,0.0914,167.98,33.15,13.1,6.5,0.007813029052491961,0,142354.7688,0.0008057972317638486,7.122872298640768
ABC-BRASIL - PRUDENCIAL,2018-09-01,23016180.0,167142.0,1617034.0,0.1323,0.0878999999999999,169.35,0.7208535743999933,28.546666666666667,0.0284112324548673,11.9,6.5,0.008702957138518042,23253971.0,186681.0,1557492.0,0.1308,0.0862,167.89,30.82333333333333,12.4,6.5,0.008869201215893649,0,134255.8104,0.0010848794967558406,6.825200892751121
ABC-BRASIL - PRUDENCIAL,2018-12-01,23316278.0,185387.0,1617034.0,0.1343,0.0883,169.09,0.3894135824999978,28.71666666666667,0.0287347274496591,11.6,6.5,0.007108618642710517,23016180.0,167142.0,1617034.0,0.1323,0.0878999999999999,169.35,28.546666666666667,11.9,6.5,0.008702957138518042,0,142137.28859999983,0.0011480900194981122,6.768506820482432
ABC-BRASIL - PRUDENCIAL,2019-03-01,23265454.0,466120.0,1938594.0,0.1331,0.0896,169.51,1.507011320000018,30.386666666666667,0.0335030498396898,12.7,6.5,0.006062705085297303,23316278.0,185387.0,1617034.0,0.1343,0.0883,169.09,28.71666666666667,11.6,6.5,0.007108618642710517,0,142784.1022,0.0010426233012730802,6.864972169571795
ABC-BRASIL - PRUDENCIAL,2019-06-01,24302115.0,317540.0,1938594.0,0.1336,0.1003999999999999,170.58,0.710811074100004,30.69666666666667,0.0314216119284321,12.0,6.5,0.004360228337948907,23265454.0,466120.0,1938594.0,0.1331,0.0896,169.51,30.386666666666667,12.7,6.5,0.006062705085297303,0,173698.0224,0.0003238882737009524,8.034787995260464
