Instituicao,Score_Robustez
ITAU - PRUDENCIAL,197.02955637661282
BB - PRUDENCIAL,193.23498864291273
BNDES - PRUDENCIAL,192.92450922686945
BRADESCO - PRUDENCIAL,159.18518542357728
SANTANDER - PRUDENCIAL,111.64488391386132
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,100.9552872788965
BTG PACTUAL - PRUDENCIAL,47.67154561566343
SAFRA - PRUDENCIAL,28.914438398534095
VOTORANTIM - PRUDENCIAL,15.647541532240478
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,14.296388705892713
NU PAGAMENTOS - PRUDENCIAL,14.027406218950148
BANRISUL - PRUDENCIAL,12.699283728653162
CITIBANK - PRUDENCIAL,12.15170304323983
BCO DAYCOVAL S.A - PRUDENCIAL,11.470756934668652
JP MORGAN CHASE - PRUDENCIAL,10.707952446773097
CREDIT SUISSE - PRUDENCIAL,10.267218423095406
XP - PRUDENCIAL,9.233048531338026
ABC-BRASIL - PRUDENCIAL,9.02350110722052
BANCO C6 - PRUDENCIAL,7.3921045006942405
BNP PARIBAS - PRUDENCIAL,7.295437051887192
BCO COOPERATIVO SICREDI - PRUDENCIAL,7.015343745763504
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,6.395463522249914
VOLKSWAGEN - PRUDENCIAL,6.277280652437285
BCO INBURSA INV S.A. - PRUDENCIAL,5.968349628143889
BANCO MASTER - PRUDENCIAL,5.589688969181765
MORGAN STANLEY - PRUDENCIAL,5.3512715883846695
STELLANTIS - PRUDENCIAL,5.23317785527753
BMG - PRUDENCIAL,5.054192536368633
BRB - PRUDENCIAL,5.0238765894874575
CCB - PRUDENCIAL,4.899274341681239
INTER - PRUDENCIAL,4.895076037710788
ALFA - PRUDENCIAL,4.638908944334641
MERCADO PAGO IP - PRUDENCIAL,4.504453660842842
MERCEDES-BENZ - PRUDENCIAL,4.449293568773664
PAN - PRUDENCIAL,4.414451275474991
BOFA MERRILL LYNCH - PRUDENCIAL,4.41381159928667
GM - PRUDENCIAL,4.259383809994919
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,4.111474495953935
SOCIETE GENERALE - PRUDENCIAL,4.038094490020946
BOCOM - PRUDENCIAL,3.971026579763905
BANCO ORIGINAL - PRUDENCIAL,3.9407924490096398
CREDIT AGRICOLE - PRUDENCIAL,3.7610417562990586
VOLVO - PRUDENCIAL,3.7582169585029686
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,3.69369034155482
PORTO SEGURO - PRUDENCIAL,3.6762693245518214
BANCOOB - PRUDENCIAL,3.616600864120458
BR PARTNERS - PRUDENCIAL,3.562360706240028
DEUTSCHE - PRUDENCIAL,3.555405980886439
HONDA - PRUDENCIAL,3.498937660496912
BCO CATERPILLAR S.A. - PRUDENCIAL,3.47759052092556
JOHN DEERE - PRUDENCIAL,3.472565228733469
ORIGINAL - PRUDENCIAL,3.3548516518229423
ANDBANK - PRUDENCIAL,3.294253548450556
CODEPE CORRETORA DE VAL. S.A. - PRUDENCIAL,3.2413712026218335
SOFISA - PRUDENCIAL,3.2235130527446043
SCANIA - PRUDENCIAL,3.1558194646689395
STONE IP - PRUDENCIAL,3.150146347775583
INDUSTRIAL DO BRASIL - PRUDENCIAL,3.0834269336171363
ING - PRUDENCIAL,3.078867836063675
SCOTIABANK BRASIL - PRUDENCIAL,3.035510577324154
BANESTES - PRUDENCIAL,3.03180797373896
TRINUS CAPITAL DTVM - PRUDENCIAL,3.0301876533607
PINE - PRUDENCIAL,2.917710447026928
BCO FIBRA S.A. - PRUDENCIAL,2.8677499596780436
MERCANTIL DO BRASIL - PRUDENCIAL,2.8309560182384312
GOLDMAN SACHS - PRUDENCIAL,2.774111535613691
YAMAHA MOTOR - PRUDENCIAL,2.6960447083517107
RODOBENS - PRUDENCIAL,2.6573369568719225
FACTA S.A. CFI - PRUDENCIAL,2.62679349353149
SUMUP IP - PRUDENCIAL,2.6084572010628087
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL,2.5314419573234144
BCO GUANABARA S.A. - PRUDENCIAL,2.519565345527647
NEON PAGAMENTOS IP - PRUDENCIAL,2.513715155698572
PARANÁ BANCO - PRUDENCIAL,2.5076021276639158
BS2 - PRUDENCIAL,2.486197231846989
BBC S.A. - PRUDENCIAL,2.4589864372040653
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,2.4502947399825428
RANDON - PRUDENCIAL,2.4390479517845187
CAIXA GERAL - PRUDENCIAL,2.406906952931302
MIZUHO - PRUDENCIAL,2.3663308795575397
BANCO PAULISTA - PRUDENCIAL,2.351620491064557
AGIBANK - PRUDENCIAL,2.346382370478311
QI SCD - PRUDENCIAL,2.311994925441
SICREDI - PRUDENCIAL,2.2967733416737057
BCO DO EST. DE SE S.A. - PRUDENCIAL,2.264929739356392
CIELO IP - PRUDENCIAL,2.2366914202812342
BCO KDB BRASIL S.A. - PRUDENCIAL,2.2287080861563515
AF DO ESTADO DE SC S.A. - PRUDENCIAL,2.2254644902187395
AF PARANÁ - PRUDENCIAL,2.2229643091593085
BCO MODAL S.A. - PRUDENCIAL,2.209293214475698
BANCO VOITER - PRUDENCIAL,2.2035356306470932
RENDIMENTO - PRUDENCIAL,2.1902062365534656
CONFIDENCE - PRUDENCIAL,2.1726825044602043
FISERV DO BRASIL IP - PRUDENCIAL,2.126576232368291
