Instituicao,Baseline,Combined Crisis,Monetary Tightening,Severe Recession,Worst_Stress_Score,Score_Final_Robustez,Max_Stress_Impact
BNDES - PRUDENCIAL,352.08508263729385,352.4338836336539,352.1990393671261,352.5512417861756,352.1990393671261,352.13066532922676,-0.11395672983223903
ITAU - PRUDENCIAL,284.9203761812603,285.2640019968035,285.03260785082017,285.3830852095974,285.03260785082017,284.9652688490843,-0.11223166955988972
BB - PRUDENCIAL,250.8169657641292,251.1688662276008,250.93195564966527,251.28519122441858,250.93195564966527,250.86296171834363,-0.11498988553606182
BRADESCO - PRUDENCIAL,201.77307585623328,202.10400373072613,201.88107487877642,202.22731959053684,201.88107487877642,201.81627546525056,-0.1079990225431402
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,159.69847511172836,160.0576448418819,159.8158880861584,160.17154674980574,159.8158880861584,159.74544030150037,-0.11741297443003873
SANTANDER - PRUDENCIAL,141.0025107283006,141.3409295696913,141.1130067398097,141.46174844053604,141.1130067398097,141.04670913290425,-0.11049601150909893
BTG PACTUAL - PRUDENCIAL,90.8117514959906,91.15442736536261,90.9236665168268,91.27382722688027,90.9236665168268,90.85651750432508,-0.11191502083619298
NU PAGAMENTOS - PRUDENCIAL,37.67655325757601,38.02701938146252,37.79106502991703,38.14382249147535,37.79106502991703,37.72235796651242,-0.11451177234101806
SAFRA - PRUDENCIAL,30.49597295653809,30.84147520094314,30.608830102385287,30.959932937449786,30.608830102385287,30.541115814876967,-0.11285714584719742
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,20.63409576265828,20.9887982805317,20.750019666328274,21.10418925921556,20.750019666328274,20.680465324126278,-0.11592390366999439
HSBC - PRUDENCIAL,18.145703813574464,18.476502804909025,18.25365987506484,18.599861625772498,18.25365987506484,18.188886238170618,-0.10795606149037695
VOTORANTIM - PRUDENCIAL,17.92559555194622,18.26344317303229,18.035901156687096,18.384452450645263,18.035901156687096,17.96971779384257,-0.11030560474087636
BANRISUL - PRUDENCIAL,16.543025588451755,16.886388509461042,16.655169626500367,17.005559353766277,16.655169626500367,16.5878832036712,-0.11214403804861206
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,15.57450300064524,15.935753555743021,15.692609583390018,16.04896185535209,15.692609583390018,15.621745633743151,-0.11810658274477781
XP - PRUDENCIAL,13.488476745157541,13.850229445199881,13.606750709550505,13.963270363160762,13.606750709550505,13.535786330914728,-0.118273964392964
BCO DAYCOVAL S.A - PRUDENCIAL,13.154207753564071,13.513829084011151,13.271771261425283,13.627580458503784,13.271771261425283,13.201233156708556,-0.11756350786121139
CITIBANK - PRUDENCIAL,12.812575954851916,13.168104427286961,12.928775176709115,13.283220087783606,12.928775176709115,12.859055643594795,-0.11619922185719922
BANCO C6 - PRUDENCIAL,12.768082200262212,13.121030491616045,12.883421361759007,13.237006212473094,12.883421361759007,12.81421786486093,-0.11533916149679513
ABC-BRASIL - PRUDENCIAL,12.728295175397632,13.0751764496533,12.841611997861705,13.19317450954307,12.841611997861705,12.773621904383262,-0.11331682246407304
BRB - PRUDENCIAL,10.900680455812182,11.253124214554077,11.015851439771666,11.369268112948438,11.015851439771666,10.946748849395977,-0.11517098395948366
VOLKSWAGEN - PRUDENCIAL,10.83085408722455,11.187857519961476,10.94754496251571,11.30248152702416,10.94754496251571,10.877530437341015,-0.11669087529116062
BNP PARIBAS - PRUDENCIAL,9.9568760321777,10.294002377834484,10.066941211775477,10.41525208059055,10.066941211775477,10.000902104016811,-0.11006517959777717
BCO COOPERATIVO SICREDI - PRUDENCIAL,9.724060030800356,10.090831603115406,9.844006952617558,10.20219956365205,9.844006952617558,9.772038799527238,-0.11994692181720268
JP MORGAN CHASE - PRUDENCIAL,9.293956151461401,9.640988387909042,9.407323294656132,9.758936127068152,9.407323294656132,9.339303008739293,-0.11336714319473096
INTER - PRUDENCIAL,8.479173872523905,8.814096510937857,8.58850448304074,8.93608078277486,8.58850448304074,8.522906116730638,-0.10933061051683524
BANCO SICOOB - PRUDENCIAL,7.653650395915428,7.98444938724997,7.761606457405794,8.107808208113441,7.761606457405794,7.696832820511575,-0.10795606149036541
BMG - PRUDENCIAL,6.897614124870356,7.254648537678223,7.014315326851828,7.369262218050576,7.014315326851828,6.944294605662945,-0.11670120198147238
AGIBANK - PRUDENCIAL,6.470840837779266,6.822342872051608,6.58569791358223,6.93880067860246,6.58569791358223,6.516783668100452,-0.11485707580296367
STELLANTIS - PRUDENCIAL,6.3926589050217615,6.7590919908795,6.512492998019857,6.870572780235218,6.512492998019857,6.440592542220999,-0.11983409299809544
BANK OF CHINA (BRASIL) - PRUDENCIAL,6.295399309510456,6.65990335620677,6.414590389454743,6.772027158616293,6.414590389454743,6.343075741488171,-0.11919107994428657
BOCOM - PRUDENCIAL,6.176584303727674,6.540844317703057,6.295694039431652,6.653049464352886,6.295694039431652,6.224228198009265,-0.11910973570397765
MORGAN STANLEY - PRUDENCIAL,5.933065347138837,6.290982105397926,6.050060664270714,6.405301670619842,6.050060664270714,5.979863473991587,-0.11699531713187739
