Instituicao,Average_Rank,Baseline_Rank,Worst_Stress_Rank
BNDES - PRUDENCIAL,1.0,1.0,1.0
ITAU - PRUDENCIAL,2.0,2.0,2.0
BB - PRUDENCIAL,3.0,3.0,3.0
BRADESCO - PRUDENCIAL,4.0,4.0,4.0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,5.0,5.0,5.0
SANTANDER - PRUDENCIAL,6.0,6.0,6.0
BTG PACTUAL - PRUDENCIAL,7.0,7.0,7.0
NU PAGAMENTOS - PRUDENCIAL,8.0,8.0,8.0
SAFRA - PRUDENCIAL,9.0,9.0,9.0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,10.0,10.0,10.0
HSBC - PRUDENCIAL,11.0,11.0,11.0
VOTORANTIM - PRUDENCIAL,12.0,12.0,12.0
BANRISUL - PRUDENCIAL,13.0,13.0,13.0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,14.0,14.0,14.0
XP - PRUDENCIAL,15.0,15.0,15.0
BCO DAYCOVAL S.A - PRUDENCIAL,16.0,16.0,16.0
CITIBANK - PRUDENCIAL,17.0,17.0,17.0
BANCO C6 - PRUDENCIAL,18.0,18.0,18.0
ABC-BRASIL - PRUDENCIAL,19.0,19.0,19.0
BRB - PRUDENCIAL,20.0,20.0,20.0
VOLKSWAGEN - PRUDENCIAL,21.0,21.0,21.0
BNP PARIBAS - PRUDENCIAL,22.0,22.0,22.0
BCO COOPERATIVO SICREDI - PRUDENCIAL,23.0,23.0,23.0
JP MORGAN CHASE - PRUDENCIAL,24.0,24.0,24.0
INTER - PRUDENCIAL,25.0,25.0,25.0
BANCO SICOOB - PRUDENCIAL,26.0,26.0,26.0
BMG - PRUDENCIAL,27.0,27.0,27.0
AGIBANK - PRUDENCIAL,28.0,28.0,28.0
STELLANTIS - PRUDENCIAL,29.0,29.0,29.0
BANK OF CHINA (BRASIL) - PRUDENCIAL,30.0,30.0,30.0
BOCOM - PRUDENCIAL,31.0,31.0,31.0
MORGAN STANLEY - PRUDENCIAL,32.0,32.0,32.0
BANCOOB - PRUDENCIAL,33.0,33.0,33.0
VOLVO - PRUDENCIAL,34.0,34.0,34.0
MERCEDES-BENZ - PRUDENCIAL,35.0,35.0,35.0
ORIGINAL - PRUDENCIAL,36.0,36.0,36.0
PORTO SEGURO - PRUDENCIAL,37.0,37.0,37.0
MERCADO PAGO IP - PRUDENCIAL,38.0,38.0,38.0
PAN - PRUDENCIAL,39.0,39.0,39.0
CREDIT SUISSE - PRUDENCIAL,40.0,40.0,40.0
BOFA MERRILL LYNCH - PRUDENCIAL,41.0,41.0,41.0
ALFA - PRUDENCIAL,42.0,42.0,42.0
BCO INBURSA INV S.A. - PRUDENCIAL,43.0,43.0,43.0
SOCIAL BANK BANCO MULTIPLO - PRUDENCIAL,44.0,44.0,44.0
MERCANTIL DO BRASIL - PRUDENCIAL,45.0,45.0,45.0
CREDIT AGRICOLE - PRUDENCIAL,46.0,46.0,46.0
CODEPE CORRETORA DE VAL. S.A. - PRUDENCIAL,47.0,47.0,47.0
HONDA - PRUDENCIAL,48.0,48.0,48.0
SCANIA - PRUDENCIAL,49.0,49.0,49.0
GM - PRUDENCIAL,50.0,50.0,50.0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL,51.0,51.0,51.0
PINE - PRUDENCIAL,52.0,52.0,52.0
BCO CLASSICO S.A. - PRUDENCIAL,53.0,53.0,53.0
BANESTES - PRUDENCIAL,54.0,54.0,54.0
CCB - PRUDENCIAL,55.0,55.0,55.0
PICPAY - PRUDENCIAL,56.0,56.0,56.0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,57.0,57.0,57.0
JOHN DEERE - PRUDENCIAL,58.36363636363637,59.0,58.0
BANCO ORIGINAL - PRUDENCIAL,59.36363636363637,58.0,61.0
BCO FIBRA S.A. - PRUDENCIAL,59.54545454545455,60.0,59.0
BCO CATERPILLAR S.A. - PRUDENCIAL,60.72727272727273,61.0,60.0
DEUTSCHE - PRUDENCIAL,62.0,62.0,62.0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,63.36363636363637,63.0,64.0
SICREDI - PRUDENCIAL,63.63636363636363,64.0,63.0
INDUSTRIAL DO BRASIL - PRUDENCIAL,65.0,65.0,65.0
SOCIETE GENERALE - PRUDENCIAL,66.0,66.0,66.0
ORIGINAL,67.0,67.0,67.0
MIZUHO - PRUDENCIAL,68.0,68.0,68.0
QI SCD - PRUDENCIAL,69.0,69.0,69.0
BNY MELLON - PRUDENCIAL,70.0,70.0,70.0
BCO KDB BRASIL S.A. - PRUDENCIAL,71.0,71.0,71.0
BCO DO EST. DE SE S.A. - PRUDENCIAL,72.0,72.0,72.0
BR PARTNERS - PRUDENCIAL,73.0,73.0,73.0
YAMAHA MOTOR - PRUDENCIAL,74.0,74.0,74.0
PARANÁ BANCO - PRUDENCIAL,75.0,75.0,75.0
SCOTIABANK BRASIL - PRUDENCIAL,76.45454545454545,76.0,77.0
OURINVEST - PRUDENCIAL,77.0909090909091,79.0,76.0
NEON PAGAMENTOS IP - PRUDENCIAL,77.54545454545455,77.0,78.0
ING - PRUDENCIAL,79.36363636363636,78.0,81.0
GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL,79.63636363636364,80.0,79.0
PSA FINANCE - PRUDENCIAL,80.9090909090909,81.0,80.0
RANDON - PRUDENCIAL,82.0,82.0,82.0
STONE IP - PRUDENCIAL,83.0,83.0,83.0
RODOBENS - PRUDENCIAL,84.18181818181819,85.0,84.0
FATOR - PRUDENCIAL,85.36363636363636,87.0,85.0
SUMUP IP - PRUDENCIAL,86.0,84.0,87.0
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,86.45454545454545,86.0,86.0
TRINUS CAPITAL DTVM - PRUDENCIAL,88.0,88.0,88.0
AGENCIA FOMENTO GOIAS - PRUDENCIAL,89.0,89.0,89.0
BMW - PRUDENCIAL,90.0,90.0,90.0
MIRAE CCTVM LTDA. - PRUDENCIAL,91.0,91.0,91.0
CAIXA GERAL - PRUDENCIAL,92.45454545454545,92.0,93.0
BS2 - PRUDENCIAL,92.54545454545455,93.0,92.0
BBC S.A. - PRUDENCIAL,94.0909090909091,95.0,94.0
AF DO ESTADO DE SC S.A. - PRUDENCIAL,94.9090909090909,94.0,95.0
CIELO IP - PRUDENCIAL,96.0,96.0,96.0
BCO GUANABARA S.A. - PRUDENCIAL,97.0,97.0,97.0
AF PARANÁ - PRUDENCIAL,98.0,98.0,98.0
OMNI - PRUDENCIAL,99.0,99.0,99.0
BANCO VOITER - PRUDENCIAL,100.0,100.0,100.0
RENDIMENTO - PRUDENCIAL,101.0,101.0,101.0
BANCO PAULISTA - PRUDENCIAL,102.0,102.0,102.0
BCO MODAL S.A. - PRUDENCIAL,103.0,103.0,103.0
BARIGUI - PRUDENCIAL,104.45454545454545,105.0,104.0
CONFIDENCE - PRUDENCIAL,104.54545454545455,104.0,105.0
BCO TRIANGULO S.A. - PRUDENCIAL,106.36363636363636,107.0,106.0
SEM PARAR IP - PRUDENCIAL,106.63636363636364,106.0,107.0
BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,108.27272727272727,109.0,108.0
BANCO SEMEAR - PRUDENCIAL,108.72727272727273,108.0,109.0
BR-CAPITAL DTVM S.A. - PRUDENCIAL,110.0,110.0,110.0
WILL IP - PRUDENCIAL,111.0,111.0,111.0
BANCO TOPÁZIO S.A. - PRUDENCIAL,112.0,112.0,112.0
VR - PRUDENCIAL,113.0,113.0,113.0
BANCO C6,114.0,114.0,114.0
FISERV DO BRASIL IP - PRUDENCIAL,115.0,115.0,115.0
MÁXIMA - PRUDENCIAL,116.0,116.0,116.0
BCO A.J. RENNER S.A. - PRUDENCIAL,117.36363636363636,117.0,118.0
CREDSYSTEM IP - PRUDENCIAL,117.72727272727273,119.0,117.0
SOCOPA - PRUDENCIAL,118.9090909090909,118.0,119.0
BBM - PRUDENCIAL,120.27272727272727,121.0,120.0
HAITONG - PRUDENCIAL,120.72727272727273,120.0,121.0
GAZINCRED SCFI - PRUDENCIAL,122.36363636363636,123.0,122.0
BANCO DIGIMAIS - PRUDENCIAL,122.9090909090909,122.0,124.0
GAZIN - PRUDENCIAL,123.72727272727273,124.0,123.0
BBC LEASING - PRUDENCIAL,125.0909090909091,126.0,125.0
HS FINANCEIRA - PRUDENCIAL,126.36363636363636,125.0,127.0
CREDIARE (COLOMBO),126.54545454545455,127.0,126.0
BULLLA IP - PRUDENCIAL,128.0,128.0,128.0
LASTRO RDV DTVM LTDA - PRUDENCIAL,129.0,129.0,129.0
PERNAMBUCANAS - PRUDENCIAL,130.0,130.0,130.0
AFINZ IP - PRUDENCIAL,131.36363636363637,131.0,132.0
SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,131.63636363636363,132.0,131.0
VORTX DTVM - PRUDENCIAL,133.0,133.0,133.0
GOLCRED - PRUDENCIAL,134.0,134.0,134.0
TULLETT PREBON BRASIL S.A. CTVM - PRUDENCIAL,135.0,135.0,135.0
STARK SCD - PRUDENCIAL,136.27272727272728,137.0,136.0
INDUSVAL - PRUDENCIAL,137.1818181818182,136.0,138.0
GENIAL - PRUDENCIAL,137.54545454545453,138.0,137.0
LECCA - PRUDENCIAL,139.0,139.0,139.0
EDENRED SOLUCOES E IP AHA - PRUDENCIAL,140.0,140.0,140.0
WILL FINANCEIRA - PRUDENCIAL,141.45454545454547,141.0,142.0
INTRA INVESTIMENTOS DTVM - PRUDENCIAL,141.54545454545453,142.0,141.0
CREDI SHOP S.A. - PRUDENCIAL,143.1818181818182,144.0,143.0
