Instituicao,Alertas_Total,Prob_Estresse_Media,NPL_Medio
SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,32,0.7932948005189422,0.023740351443153368
HS FINANCEIRA - PRUDENCIAL,31,0.7682267465848664,0.1792052667773312
CREFISA S.A. CFI - PRUDENCIAL,27,0.993141859518942,0.28357717212825034
TULLETT PREBON BRASIL S.A. CTVM - PRUDENCIAL,27,0.7775181814356316,0.006087000936410294
BMW - PRUDENCIAL,24,0.6531443963250979,0.02684658773241533
GAZIN - PRUDENCIAL,22,0.7427387754214331,0.06845091884556576
HAITONG - PRUDENCIAL,21,0.6169260688715291,0.08707093585878453
LECCA - PRUDENCIAL,20,0.7911259333812486,0.03658530339073389
GOLCRED - PRUDENCIAL,19,0.782744730968716,0.20120985637482752
SIMPALA CFI - PRUDENCIAL,19,0.7933796367259427,0.09691807054624678
PLANNER - PRUDENCIAL,19,0.7967555841486416,0.16432130069390857
FATOR - PRUDENCIAL,17,0.603083312138635,0.05807884964929811
RENDIMENTO - PRUDENCIAL,17,0.6152426668765885,0.023024262451993745
SOROCRED CFI S.A. - PRUDENCIAL,16,0.8081105660703423,0.17296438327983932
BARIGUI - PRUDENCIAL,15,0.751051694562587,0.017751347456870493
BCO A.J. RENNER S.A. - PRUDENCIAL,15,0.6871482435538029,0.06060489038911897
CREDIARE CFI - PRUDENCIAL,15,0.7787282859069528,0.08935607301996315
MÁXIMA - PRUDENCIAL,15,0.7595694896257865,0.043693175755490456
BCO MODAL S.A. - PRUDENCIAL,15,0.5621705559735812,0.02211619532830078
GENIAL - PRUDENCIAL,14,0.7365383916718677,0.004234154891947612
AGIBANK - PRUDENCIAL,14,0.4886085246013186,0.11016968731162108
AF DO ESTADO DE SC S.A. - PRUDENCIAL,13,0.6460791254686199,0.05644631858532318
BCO TRIANGULO S.A. - PRUDENCIAL,13,0.553201602995531,0.10219389611112452
OURINVEST - PRUDENCIAL,13,0.7142434771711911,0.01696556737254817
DACASA FINANCEIRA - PRUDENCIAL,12,0.7517915479272586,0.3058514804984376
INDUSVAL - PRUDENCIAL,12,0.7199183412376263,0.10938784954999417
OMNI - PRUDENCIAL,12,0.5406873852936853,0.1682944630762826
ZEMA CFI - PRUDENCIAL,12,0.7928898580955656,0.20837087298848425
CAIXA GERAL - PRUDENCIAL,11,0.5182795193991464,0.18836145196875567
BRASIL PLURAL - PRUDENCIAL,11,0.7640308014924755,0.11903809982032958
