Instituicao,Score_Log_Odds_Robustez
BB - PRUDENCIAL,10.543093292912724
ITAU - PRUDENCIAL,9.804156043936064
BNDES - PRUDENCIAL,9.704801915508021
BRADESCO - PRUDENCIAL,8.624060593498905
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,7.498085944607228
SANTANDER - PRUDENCIAL,7.08706144749561
BTG PACTUAL - PRUDENCIAL,4.571991859520811
XP - PRUDENCIAL,4.395755413433122
NU PAGAMENTOS - PRUDENCIAL,4.373801269476481
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,4.361778013181906
SAFRA - PRUDENCIAL,4.150766611085121
PAGSEGURO - PRUDENCIAL,4.088838119028511
MERCADO PAGO IP - PRUDENCIAL,3.9898852492679024
STONE IP - PRUDENCIAL,3.969734362999862
COOPER CARD IP - PRUDENCIAL,3.9434079546118674
QISTA S.A. CFI - PRUDENCIAL,3.8922796477458093
CREDSYSTEM IP - PRUDENCIAL,3.8827249416053045
NEON PAGAMENTOS IP - PRUDENCIAL,3.876938504424305
PINBANK BRASIL IP - PRUDENCIAL,3.872707994183784
CIELO IP - PRUDENCIAL,3.871371959678255
RECARGAPAY IP - PRUDENCIAL,3.863951480684495
AME DIGITAL BRASIL IP - PRUDENCIAL,3.861720804817453
PROVER PROMOCAO DE VENDAS IP - PRUDENCIAL,3.860346546904145
BANQI IP - PRUDENCIAL,3.860092536496704
STARK SCD - PRUDENCIAL,3.8596373268631896
EFI S.A. IP - PRUDENCIAL,3.859264159447946
BRINKS PAY IP - PRUDENCIAL,3.8439689280272002
AFINZ IP - PRUDENCIAL,3.841011391004592
ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,3.84021073379506
SUMUP IP - PRUDENCIAL,3.8353709268510805
BMP SCMEPP LTDA - PRUDENCIAL,3.8300828975933103
FACTA S.A. CFI - PRUDENCIAL,3.827855611267445
DM FINANCEIRA CFI - PRUDENCIAL,3.823487553827518
BCO COOPERATIVO SICREDI - PRUDENCIAL,3.79430397382135
FISERV DO BRASIL IP - PRUDENCIAL,3.787999207362503
BANRISUL - PRUDENCIAL,3.7710546188271223
VOTORANTIM - PRUDENCIAL,3.7548909561960646
GAZINCRED SCFI - PRUDENCIAL,3.7242376936677717
BANCO C6 - PRUDENCIAL,3.7025233577248993
CREDIARE CFI - PRUDENCIAL,3.694600055195494
CITIBANK - PRUDENCIAL,3.6761676015832667
COBUCCIO SCFI - PRUDENCIAL,3.6605229283839953
STELLANTIS - PRUDENCIAL,3.6485804661253383
ZEMA CFI - PRUDENCIAL,3.6388981863079546
BANCO MASTER - PRUDENCIAL,3.633795812770839
FORTBRASIL IP - PRUDENCIAL,3.6258368481470917
SIMPALA CFI - PRUDENCIAL,3.6023496191736535
UBS (BRASIL) - PRUDENCIAL,3.5966579332760524
BANCO DIGIMAIS - PRUDENCIAL,3.545707581538641
BANIF - PRUDENCIAL,3.545133432391702
M PAGAMENTOS S.A. CFI - PRUDENCIAL,3.5333297075189467
PORTO SEGURO - PRUDENCIAL,3.516559537874694
PLANNER - PRUDENCIAL,3.5117391763464503
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,3.495394561142779
BANCO VOITER - PRUDENCIAL,3.48407681515387
TULLETT PREBON BRASIL S.A. CTVM - PRUDENCIAL,3.4767871463575646
JP MORGAN CHASE - PRUDENCIAL,3.471215960171162
AF PARANÁ - PRUDENCIAL,3.4699745499431316
BNP PARIBAS - PRUDENCIAL,3.4498598094065716
QI SCD - PRUDENCIAL,3.4481450153930413
BS2 - PRUDENCIAL,3.4472589788944767
BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,3.4388884056686213
CREDIT SUISSE - PRUDENCIAL,3.438224108072367
BCO DAYCOVAL S.A - PRUDENCIAL,3.437212188284333
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL,3.4356387416060716
ABC-BRASIL - PRUDENCIAL,3.423441394298974
MONEY PLUS SCMEPP LTDA - PRUDENCIAL,3.4147166912316322
BANCO ORIGINAL - PRUDENCIAL,3.4127409323431355
CIELO - PRUDENCIAL,3.409578886629168
GENIAL - PRUDENCIAL,3.4014570471351155
BANCOOB - PRUDENCIAL,3.396943596075524
BMW - PRUDENCIAL,3.3905809731029937
SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,3.3888991253640524
AF DO ESTADO DE SC S.A. - PRUDENCIAL,3.3875185219550574
CONFIDENCE - PRUDENCIAL,3.3678552343454937
BRB - PRUDENCIAL,3.3579326508117666
HS FINANCEIRA - PRUDENCIAL,3.3559538411006793
BOCOM - PRUDENCIAL,3.3385599842972735
