Instituicao,Alertas_Total,Prob_Estresse_Media,NPL_Medio
CREFISA S.A. CFI - PRUDENCIAL,27,0.4342501583162129,0.28357717212825034
FATOR - PRUDENCIAL,19,0.18721083217571394,0.05807884964929811
RANDON - PRUDENCIAL,19,0.1955070180356964,0.016871258527923476
SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,16,0.17764147254159018,0.023740351443153368
OMNI - PRUDENCIAL,16,0.15429489254006218,0.1682944630762826
PLANNER - PRUDENCIAL,15,0.18489728841199493,0.16432130069390857
BCO A.J. RENNER S.A. - PRUDENCIAL,15,0.21526153429567746,0.06060489038911897
AGIBANK - PRUDENCIAL,15,0.18799772104034299,0.11016968731162108
SOROCRED CFI S.A. - PRUDENCIAL,15,0.205824420174871,0.17296438327983932
ANDBANK - PRUDENCIAL,15,0.18628238285897955,0.01907142651735154
OURINVEST - PRUDENCIAL,13,0.2362317491366732,0.01696556737254817
LECCA - PRUDENCIAL,13,0.1979674513905875,0.03658530339073389
GENIAL - PRUDENCIAL,12,0.19535290900592095,0.004234154891947612
SOCOPA - PRUDENCIAL,11,0.21050572653938746,0.030817538236909015
HS FINANCEIRA - PRUDENCIAL,11,0.1576280443667347,0.1792052667773312
BRASIL PLURAL - PRUDENCIAL,11,0.25961851041983103,0.11903809982032958
COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE,11,0.20579574087066696,0.009062312496728555
GOLCRED - PRUDENCIAL,11,0.1810133722910671,0.20120985637482752
BCO TRIANGULO S.A. - PRUDENCIAL,11,0.15307206308640822,0.10219389611112452
BARIGUI - PRUDENCIAL,10,0.19399189764904679,0.017751347456870493
MÁXIMA - PRUDENCIAL,10,0.21071492211887766,0.043693175755490456
DACASA FINANCEIRA - PRUDENCIAL,10,0.21251875512946403,0.3058514804984376
INDUSVAL - PRUDENCIAL,10,0.18818639777373905,0.10938784954999417
RENDIMENTO - PRUDENCIAL,9,0.16513755080545492,0.023024262451993745
AVISTA S.A. CFI - PRUDENCIAL,9,0.23193193486944155,0.0848785692053355
BMP SCMEPP LTDA - PRUDENCIAL,8,0.18233664192157467,0.041096674755466744
ESTRELA MINEIRA - PRUDENCIAL,8,0.19806865350588793,0.19871477641318075
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL,8,0.21036554370515023,0.0004282280128241023
QI SCD - PRUDENCIAL,7,0.1562024399130034,0.018164917287821682
YAMAHA MOTOR - PRUDENCIAL,7,0.13659515617330178,0.07133441367915269
FORTBRASIL IP - PRUDENCIAL,7,0.1973388604994675,0.21536798992514766
BR PARTNERS - PRUDENCIAL,7,0.15149840365638886,0.00098897425627515
BCO MODAL S.A. - PRUDENCIAL,6,0.1497026002926381,0.02211619532830078
CAIXA GERAL - PRUDENCIAL,5,0.13168129036176532,0.18836145196875567
SANTINVEST - PRUDENCIAL,5,0.21123454528319469,0.3290369696608132
SCANIA - PRUDENCIAL,5,0.08385590587841771,0.01592800020499832
PAGSEGURO - PRUDENCIAL,5,0.6987881637450791,0.01082540117101234
BANCO PAULISTA - PRUDENCIAL,5,0.1652096709339795,0.02180782939080894
BANIF - PRUDENCIAL,5,0.31280366223236084,0.0
DM FINANCEIRA CFI - PRUDENCIAL,5,0.20241168200856235,0.20151126214784137
SANTANA S.A. - CFI - PRUDENCIAL,4,0.22695977859788724,0.12744560656183943
SENFFNET IP - PRUDENCIAL,3,0.23008030017609382,0.122921360599747
CIELO IP - PRUDENCIAL,3,0.07895409130980953,0.05525305545348976
CONFIDENCE - PRUDENCIAL,3,0.1956419176250256,0.039517621140312084
COOPER CARD IP - PRUDENCIAL,3,0.1815855032160565,0.14723392713207853
BANCO C6,3,0.3257301572693899,0.023060467141519565
STARK SCD - PRUDENCIAL,2,0.18704245895802335,0.0
RECARGAPAY IP - PRUDENCIAL,2,0.20332053441227393,0.3576360887002902
BANQI IP - PRUDENCIAL,2,0.1845344124838323,0.11220135670948969
EFI S.A. IP - PRUDENCIAL,2,0.19700094136325008,0.08651831396161196
PROVER PROMOCAO DE VENDAS IP - PRUDENCIAL,2,0.18238237207713587,0.0
NU PAGAMENTOS - PRUDENCIAL,2,0.0695388995703458,0.10370294858121377
BS2 - PRUDENCIAL,2,0.0969949272720593,0.028350674569934783
MONEY PLUS SCMEPP LTDA - PRUDENCIAL,2,0.23492422126686063,0.07255723129533564
BCO GUANABARA S.A. - PRUDENCIAL,1,0.1442216044128361,0.040384225129493315
BBC S.A. - PRUDENCIAL,1,0.15917410728726364,0.0296496593244681
RODOBENS - PRUDENCIAL,1,0.1180955539547588,0.03669957536000163
BMW - PRUDENCIAL,1,0.11353517120685061,0.02684658773241533
PINBANK BRASIL IP - PRUDENCIAL,1,0.1956777474682294,0.0
BRINKS PAY IP - PRUDENCIAL,1,0.193152299953127,0.0
SIMPALA CFI - PRUDENCIAL,1,0.15890640207560772,0.09691807054624678
CIELO - PRUDENCIAL,1,0.2333686836541142,0.5562818660610817
TULLETT PREBON BRASIL S.A. CTVM - PRUDENCIAL,1,0.1452189423707929,0.006087000936410294
AME DIGITAL BRASIL IP - PRUDENCIAL,1,0.17359864335191383,0.0064877978794269
ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,1,0.18334352182919217,0.0479204595949953
ZEMA CFI - PRUDENCIAL,1,0.16439196604258838,0.20837087298848425
