trimestre,n_treino,n_teste,positivos,auc,brier
2020-03-01,982,83,9,0.9534534534534533,0.047075615937811906
2020-06-01,1065,86,7,0.9529837251356239,0.05781332931004346
2020-09-01,1151,87,7,0.9642857142857142,0.04594039947490927
2020-12-01,1238,78,3,0.9688888888888888,0.0319525205750301
2021-03-01,1316,79,3,0.9692982456140351,0.029946642341090856
2021-06-01,1395,79,3,0.9780701754385965,0.022329394675460672
2021-09-01,1474,81,4,0.7337662337662337,0.03750384137402603
2021-12-01,1555,78,3,0.9822222222222222,0.025159197500310933
2022-03-01,1633,84,4,0.9906250000000001,0.03410567482172601
2022-06-01,1717,87,5,0.9146341463414634,0.03806595221062515
2022-09-01,1804,88,8,0.9140625,0.06000064670466601
2022-12-01,1892,89,9,0.9305555555555556,0.05512749419878826
2023-03-01,1981,95,8,0.8979885057471264,0.0588705832406783
2023-06-01,2076,92,9,0.7590361445783133,0.09788418386112338
2023-09-01,2168,91,8,0.7530120481927711,0.08897519550449505
2023-12-01,2259,91,6,0.8411764705882353,0.05641073989011077
2024-03-01,2350,91,5,0.8255813953488373,0.0457641622243279
2024-06-01,2441,91,7,0.8078231292517006,0.06281817236556489
2024-09-01,2532,110,13,0.8437747819191119,0.0932183201397017
2024-12-01,2642,110,9,0.8305830583058307,0.06567384607375823
2025-03-01,2752,62,2,0.6666666666666667,0.035426670723574666
2025-06-01,2814,62,0,,0.004045812739059163
2025-09-01,2876,59,1,0.3793103448275862,0.01986192446751639
